epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,5011.31,0.36416,0.27833,0.93284,0.98273,0.98179,0.99268,0.8381,0.72002,0.28605,1.28359,5.467e-05,5.467e-05,5.467e-05
132,5049.44,0.37064,0.29339,0.94256,0.98383,0.9815,0.99279,0.83809,0.7203,0.28528,1.28581,5.2129e-05,5.2129e-05,5.2129e-05
133,5087.83,0.35499,0.27038,0.93703,0.98438,0.98053,0.99071,0.84031,0.71325,0.28485,1.27735,4.9588e-05,4.9588e-05,4.9588e-05
134,5125.91,0.35906,0.27928,0.93507,0.98725,0.97691,0.99271,0.83849,0.72673,0.29079,1.28813,4.7047e-05,4.7047e-05,4.7047e-05
135,5164.12,0.34313,0.26791,0.92792,0.98519,0.98159,0.99141,0.83617,0.72237,0.28979,1.2835,4.4506e-05,4.4506e-05,4.4506e-05
136,5202.25,0.35542,0.27838,0.93341,0.98638,0.97503,0.98917,0.83749,0.71848,0.2945,1.28427,4.1965e-05,4.1965e-05,4.1965e-05
137,5240.51,0.35309,0.28297,0.93691,0.98786,0.97975,0.99171,0.83777,0.72016,0.28146,1.2885,3.9424e-05,3.9424e-05,3.9424e-05
138,5278.67,0.3502,0.26951,0.92544,0.98768,0.98457,0.99232,0.83873,0.71611,0.27942,1.28507,3.6883e-05,3.6883e-05,3.6883e-05
139,5316.75,0.35107,0.2741,0.93187,0.98379,0.98086,0.99127,0.84234,0.72063,0.28208,1.29129,3.4342e-05,3.4342e-05,3.4342e-05
140,5354.91,0.33869,0.26801,0.91967,0.98196,0.97218,0.98855,0.83717,0.71439,0.2874,1.27857,3.1801e-05,3.1801e-05,3.1801e-05
141,5412.7,0.29438,0.17233,0.88999,0.97498,0.96576,0.98451,0.82941,0.72629,0.31838,1.31669,2.926e-05,2.926e-05,2.926e-05
142,5450.73,0.27133,0.15829,0.85801,0.97414,0.96716,0.98468,0.82921,0.71552,0.32644,1.29273,2.6719e-05,2.6719e-05,2.6719e-05
143,5488.82,0.26548,0.15593,0.87096,0.97545,0.97012,0.98547,0.83206,0.71264,0.31975,1.29164,2.4178e-05,2.4178e-05,2.4178e-05
144,5526.9,0.25407,0.14783,0.86428,0.9782,0.97242,0.98786,0.83626,0.71721,0.31542,1.29848,2.1637e-05,2.1637e-05,2.1637e-05
145,5564.96,0.25855,0.152,0.85766,0.97715,0.97349,0.98846,0.83516,0.71681,0.30508,1.29804,1.9096e-05,1.9096e-05,1.9096e-05
146,5603.12,0.25379,0.1471,0.8618,0.98168,0.97274,0.98928,0.83843,0.71004,0.303,1.29145,1.6555e-05,1.6555e-05,1.6555e-05
147,5641.1,0.25318,0.14693,0.85534,0.97942,0.97357,0.98879,0.84257,0.70794,0.30425,1.28553,1.4014e-05,1.4014e-05,1.4014e-05
148,5679.24,0.24901,0.14319,0.85155,0.98073,0.97393,0.98861,0.84106,0.70743,0.30321,1.28505,1.1473e-05,1.1473e-05,1.1473e-05
149,5717.33,0.24935,0.14561,0.85116,0.98041,0.9739,0.98882,0.84141,0.71063,0.30513,1.28957,8.932e-06,8.932e-06,8.932e-06
150,5755.39,0.24637,0.14516,0.8497,0.98029,0.97433,0.98857,0.84123,0.71013,0.30279,1.28758,6.391e-06,6.391e-06,6.391e-06
